7p	29.09.1986	28.09.1987	719857	4390464	-9999	-179	1								
7q	29.09.1986	28.09.1987	719821	4390288	-9999	-161	1								
7r	29.09.1986	28.09.1987	719760	4389867	-9999	-190	1								
7s	29.09.1986	28.09.1987	719631	4389425	-9999	-168	1								
7t	29.09.1986	28.09.1987	719535	4389299	-9999	-134	1								
7u	29.09.1986	28.09.1987	719461	4389063	-9999	-175	1								
7v	29.09.1986	28.09.1987	719355	4388859	-9999	-125	1								
7w	29.09.1986	28.09.1987	719359	4388859	-9999	-61	1								
7x	29.09.1986	28.09.1987	719352	4388852	-9999	-68	1								
8a	29.09.1986	28.09.1987	719653	4386339	-9999	151	1								
8b	29.09.1986	28.09.1987	719878	4386312	-9999	156	1								
8c	29.09.1986	28.09.1987	720061	4386273	-9999	128	1								
8d	29.09.1986	28.09.1987	720203	4386249	-9999	108	1								
8e	29.09.1986	28.09.1987	720330	4386194	-9999	134	1								
8f	29.09.1986	28.09.1987	720637	4386149	-9999	132	1								
8g	29.09.1986	28.09.1987	720831	4386094	-9999	92	1								
8h	29.09.1986	28.09.1987	721055	4386042	-9999	130	1								
9a	29.09.1986	28.09.1987	719468	4386185	-9999	117	1								
9b	29.09.1986	28.09.1987	719469	4386078	-9999	134	1								
9c	29.09.1986	28.09.1987	719471	4385970	-9999	158	1								
10a	29.09.1986	28.09.1987	719387	4386472	-9999	156	1								
10b	29.09.1986	28.09.1987	719347	4386530	-9999	200	1								
10d	29.09.1986	28.09.1987	719308	4386578	-9999	182	1								
10e	29.09.1986	28.09.1987	719267	4386646	-9999	180	1								
11a	29.09.1986	28.09.1987	719619	4389563	-9999	-127	1								
11b	29.09.1986	28.09.1987	719318	4389414	-9999	-83	1								
11c	29.09.1986	28.09.1987	719183	4389315	-9999	-58	1								
11d	29.09.1986	28.09.1987	719039	4389206	-9999	-67	1								
11e	29.09.1986	28.09.1987	718904	4389136	-9999	-66	1								
11f	29.09.1986	28.09.1987	718758	4389047	-9999	-55	1								
11g	29.09.1986	28.09.1987	718544	4388941	-9999	-57	1								
11h	29.09.1986	28.09.1987	718386	4388900	-9999	-36	1								
11i	29.09.1986	28.09.1987	718078	4388799	-9999	-47	1								
11j	29.09.1986	28.09.1987	717870	4388783	-9999	-36	1								
11k	29.09.1986	28.09.1987	717733	4388781	-9999	-15	1								
11l	29.09.1986	28.09.1987	717623	4388755	-9999	7	1								
11m	29.09.1986	28.09.1987	717492	4388727	-9999	18	1								
11n	29.09.1986	28.09.1987	717304	4388696	-9999	-37	1								
11o	29.09.1986	28.09.1987	717232	4388685	-9999	-24	1								
11p	29.09.1986	28.09.1987	717038	4388673	-9999	1	1								
11q	29.09.1986	28.09.1987	716968	4388688	-9999	127	1								
11r	29.09.1986	28.09.1987	716870	4388647	-9999	117	1								
11s	29.09.1986	28.09.1987	716752	4388597	-9999	124	1								
11t	29.09.1986	28.09.1987	716507	4388562	-9999	121	1								
11u	29.09.1986	28.09.1987	716358	4388560	-9999	114	1								
11v	29.09.1986	28.09.1987	716171	4388509	-9999	140	1								
11w	29.09.1986	28.09.1987	715655	4388493	-9999	82	1								
11x	29.09.1986	28.09.1987	715178	4388452	-9999	128	1								
11y	29.09.1986	28.09.1987	714998	4388430	-9999	146	1								
11z	29.09.1986	28.09.1987	714829	4388177	-9999	72	1								
12b	29.09.1986	28.09.1987	719800	4389174	-9999	-22	1								
12c	29.09.1986	28.09.1987	719921	4388951	-9999	-27	1								
12d	29.09.1986	28.09.1987	720020	4388786	-9999	-17	1								
12e	29.09.1986	28.09.1987	720122	4388678	-9999	-32	1								
12f	29.09.1986	28.09.1987	720318	4388398	-9999	-13	1								
12g	29.09.1986	28.09.1987	720467	4388166	-9999	3	1								
12h	29.09.1986	28.09.1987	720598	4388004	-9999	24	1								
12i	29.09.1986	28.09.1987	720765	4387847	-9999	54	1								
12j	29.09.1986	28.09.1987	720893	4387596	-9999	33	1								
12k	29.09.1986	28.09.1987	720916	4387401	-9999	27	1								
12l	29.09.1986	28.09.1987	720891	4387138	-9999	30	1								
12m	29.09.1986	28.09.1987	720828	4386874	-9999	99	1								
12n	29.09.1986	28.09.1987	720773	4386688	-9999	91	1								
12o	29.09.1986	28.09.1987	720738	4386472	-9999	87	1								
12p	29.09.1986	28.09.1987	720692	4386286	-9999	72	1								
12q	29.09.1986	28.09.1987	720582	4385943	-9999	132	1								
12r	29.09.1986	28.09.1987	720489	4385716	-9999	127	1								
12s	29.09.1986	28.09.1987	720328	4385450	-9999	106	1								
13a	29.09.1986	28.09.1987	717620	4389189	-9999	-25	1								
13b	29.09.1986	28.09.1987	717728	4389090	-9999	10	1								
